experiment_id,dataset,number_of_data,model,prompt_set,number_of_shots,temperature,max_tokens,batch_size,pad_token,pad_token_id,eos_token,eos_token_id,seed,device,accuracy,average_pvi_for_T,average_pvi_for_F,accuracy_for_pvi<1/5quantile,accuracy_for_pvi>4/5quantile,accuracy_for_pvi<1/2quantile,accuracy_for_pvi>1/2quantile
20230518_235644,multinli/multinli_1.0_dev_matched.txt,9815,EleutherAI/gpt-neo-1.3B,1a,6,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.334,0.107,0.1379,0.3403,0.2715,0.3538,0.3146
20230519_001028,snli/snli_1.0_test.txt,9824,EleutherAI/gpt-neo-1.3B,1a,3,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.3015,0.0627,0.0607,0.3262,0.333,0.3028,0.3003
20230519_002319,snli/snli_1.0_test.txt,9824,EleutherAI/gpt-neo-1.3B,1a,6,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.3308,0.0457,0.1162,0.3872,0.2314,0.3833,0.2788
20230519_134044,cola/raw/in_domain_dev.tsv,527,EleutherAI/gpt-neo-1.3B,2a,4,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.4516,0.2065,0.2651,0.5472,0.4808,0.4525,0.4504
20230519_134123,cola/raw/in_domain_dev.tsv,527,EleutherAI/gpt-neo-1.3B,2a,8,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.4573,0.147,0.2018,0.5714,0.4717,0.4677,0.4462
20230519_134208,cola/raw/in_domain_dev.tsv,527,EleutherAI/gpt-neo-1.3B,3a,4,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.4687,0.0759,-0.021,0.3491,0.5755,0.4183,0.5171
20230519_134247,cola/raw/in_domain_dev.tsv,527,EleutherAI/gpt-neo-1.3B,3a,8,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.4554,-0.0326,-0.3143,0.3714,0.6226,0.3946,0.5209
20230519_134327,multinli/multinli_1.0_dev_matched.txt,9815,EleutherAI/gpt-neo-1.3B,2a,3,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.3113,0.1925,0.1195,0.2411,0.3568,0.2845,0.3386
20230519_135611,multinli/multinli_1.0_dev_matched.txt,9815,EleutherAI/gpt-neo-1.3B,2a,6,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.3332,0.0597,0.0376,0.2562,0.3816,0.3012,0.3639
20230519_141009,multinli/multinli_1.0_dev_matched.txt,9815,EleutherAI/gpt-neo-1.3B,3a,3,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.3271,0.82,0.4494,0.206,0.2345,0.2693,0.385
20230519_142339,multinli/multinli_1.0_dev_matched.txt,9815,EleutherAI/gpt-neo-1.3B,3a,6,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.3357,0.1237,0.1653,0.4112,0.3359,0.38,0.2919
20230519_143812,snli/snli_1.0_test.txt,9824,EleutherAI/gpt-neo-1.3B,2a,3,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.3263,0.6542,0.5726,0.2584,0.2247,0.3423,0.3103
20230519_145308,snli/snli_1.0_test.txt,9824,EleutherAI/gpt-neo-1.3B,2a,6,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.3294,0.1684,0.4799,0.4667,0.2028,0.4199,0.239
20230519_150914,snli/snli_1.0_test.txt,9824,EleutherAI/gpt-neo-1.3B,3a,3,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.3174,0.2768,0.292,0.2865,0.2305,0.3373,0.2975
20230519_152505,snli/snli_1.0_test.txt,9824,EleutherAI/gpt-neo-1.3B,3a,6,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.3312,0.2171,0.2936,0.327,0.2476,0.3664,0.2955
20230519_223313,boolq/dev.csv,3270,gpt2,1a,2,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.4046,-0.0071,-0.2553,0.1376,0.6743,0.1738,0.6359
20230519_223530,boolq/dev.csv,3270,gpt2,1a,4,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.3761,0.0335,-0.6,0.0553,0.7768,0.1625,0.5909
20230519_223805,boolq/dev.csv,3270,gpt2,2a,2,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.4098,4.4924,3.8811,0.1822,0.7473,0.217,0.6028
20230519_224020,boolq/dev.csv,3270,gpt2,2a,4,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.4248,0.107,-0.4337,0.1807,0.7824,0.2077,0.6422
20230519_224241,boolq/dev.csv,3270,gpt2,3a,2,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.4713,0.2081,0.2633,0.5323,0.5229,0.4874,0.454
20230519_224457,boolq/dev.csv,3270,gpt2,3a,4,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.4633,0.0149,-0.0896,0.3139,0.66,0.3321,0.5945
20230519_224717,rte/dev.csv,277,gpt2,1a,2,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.4079,4.5533,3.7825,0.125,0.75,0.1667,0.6449
20230519_224729,rte/dev.csv,277,gpt2,1a,4,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.4404,0.143,-0.1105,0.2143,0.6964,0.2536,0.6232
20230519_224740,rte/dev.csv,277,gpt2,2a,2,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.4188,4.4648,4.1628,0.2143,0.6182,0.2609,0.5797
20230519_224752,rte/dev.csv,277,gpt2,2a,4,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.4368,0.1178,-0.1087,0.2727,0.625,0.2609,0.6087
20230519_224803,rte/dev.csv,277,gpt2,3a,2,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.444,0.238,0.151,0.2857,0.4107,0.413,0.4783
20230519_224814,rte/dev.csv,277,gpt2,3a,4,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.4477,0.077,-0.1225,0.2679,0.75,0.2609,0.6377
20230519_224826,advice/health_advice_sturctured_abs_annotation_test_folds.csv,4784,gpt2,1a,3,0.8,2,None,<|endoftext|>,50256,\n,198,2266,NVIDIA A100-PCIE-40GB,0.3737,-0.0315,0.1995,0.3004,0.1661,0.3356,0.4117
